school_name,school_number,classes_text,classes,address,area_text,area,phone,email,website
ישיבת בני עקיבא השומרון,440958,"חט""ב + עליונה",6,"שדרות רחבעם , קרני שומרון",מרכז,4,09-7929966,ysmazkir@gmail.com,<a href='https://yba.org.il/institutes/%D7%99%D7%A9%D7%99%D7%91%D7%AA-%D7%91%D7%A0%D7%99-%D7%A2%D7%A7%D7%99%D7%91%D7%90-%D7%94%D7%A9%D7%95%D7%9E%D7%A8%D7%95%D7%9F/' target='_blank'>דף הבית</a>
ישיבת בני עקיבא תקות יעקב,240176,"חט""ב + עליונה",6,"שדה יעקב 4, שדה יעקב",צפון,1,04-9110141,office@s-y.org.il,<a href='https://yba.org.il/institutes/%D7%99%D7%A9%D7%99%D7%91%D7%AA-%D7%91%D7%A0%D7%99-%D7%A2%D7%A7%D7%99%D7%91%D7%90-%D7%AA%D7%A7%D7%95%D7%95%D7%AA-%D7%99%D7%A2%D7%A7%D7%91/' target='_blank'>דף הבית</a>
אולפנת אבן שמואל,640532,"חט""ב + עליונה",6,אבן שמואל,דרום,7,08-6670700,uesh12@gmail.com,<a href='https://uesh.mashov.info/' target='_blank'>דף הבית</a>
"תו""ם חרב לאת",470211,עליונה בלבד,7,חרב לאת,מרכז,4,04-6365339,tom@tom.org.il,<a href='https://www.tom.org.il/' target='_blank'>דף הבית</a>
"ישיבת בנ""ע כפר הרואה",440321,עליונה בלבד,7,"כפר הרא""ה",מרכז,4,04-6662255,yudam@mkp.org.il,<a href='https://haroe.org.il/' target='_blank'>דף הבית</a>
"סוסיא-ישיבת בני""ע",142265,עליונה בלבד,7,סוסיה,"יו""ש",6,"02-9963550, 02-9962827",haim@sussya.org.il,<a href='http://sussya.org.il' target='_blank'>דף הבית</a>
"כ""ג יורדי הסירה",270033,עליונה בלבד,7,"דרך הארבעה 1, עכו",צפון,1,04-9851205,maya@kzineyam.org.il,<a href='https://kzineyam.org.il/' target='_blank'>דף הבית</a>
"אולפנא בהר""ן",440834,עליונה בלבד,7,"פינס 161, גדרה",מרכז,4,08-8594918,mazkirut.ubaharan@gmail.com,<a href='https://baharan.tik-tak.net/' target='_blank'>דף הבית</a>
ישיבה תיכונית חיספין,240457,"חט""ב + עליונה",6,חספין,צפון,1,04-6761000,misrad_1@yth.co.il,<a href='https://yth.rgl.org.il/' target='_blank'>דף הבית</a>
ישיבת אלוני הבשן,240622,עליונה בלבד,7,אלוני הבשן,צפון,1,04-6960065,misrad@albash.org.il,<a href='https://albash.rgl.org.il/' target='_blank'>דף הבית</a>
מקיף מבואות עירון,360040,"חט""ב + עליונה",6,עין שמר,חיפה,2,04-6377720,mazkirut@mevoot-eron.com,<a href='https://www.mevoot-eron.com/' target='_blank'>דף הבית</a>
נוה עמיאל,280016,עליונה בלבד,7,שדה יעקב,צפון,1,04-9038500,neve@amiel.co.il,<a href='https://neveamiel.com/' target='_blank'>דף הבית</a>
כפר הנוער הדתי,380048,"חט""ב + עליונה",6,כפר הנוער הדתי,חיפה,2,04-9846259,dalia.ilani@gmail.com,<a href='https://kfarhanoarhadati.org/' target='_blank'>דף הבית</a>
גן ונוף,480038,"חט""ב + עליונה",6,"שרעבי שלום 3, פתח תקווה","ת""א",3,03-9079002,iritk@ganof.org.il,<a href='https://ganof.org.il/' target='_blank'>דף הבית</a>
חקלאי כנות,680066,"חט""ב + עליונה",6,כנות,דרום,7,08-8574520,hezy@kannot.org.il,<a href='https://www.kannot.org.il/school/' target='_blank'>דף הבית</a>
מבואות הנגב,660274,"חט""ב + עליונה",6,שובל,דרום,7,072-2771999,administration@mevoot.org.il,<a href='https://mevoot.tik-tak.net/' target='_blank'>דף הבית</a>
נוה הדסה,444034,"חט""ב + עליונה",6,תל יצחק,"ת""א",3,09-8993232,bsnh65@gmail.gom,<a href='http://www.nhadassa.co.il/index.aspx?id=4331' target='_blank'>דף הבית</a>
"נווה יש""ר ימין אורד",370155,עליונה בלבד,7,ניר עציון,חיפה,2,04-8148146,shoshi@yeminorde.co.il,<a href='http://www.yeminorde.co.il/?page_id=34' target='_blank'>דף הבית</a>
"מקיף ע""ש מוסינזון",470138,עליונה בלבד,7,"עלית הנוער 1, הוד השרון",מרכז,4,09-7757002,school@mosenson.org,<a href='https://mosinzon.tik-tak.net/' target='_blank'>דף הבית</a>
ישיבת שעלבים,770305,"חט""ב + עליונה",6,שעלבים,מרכז,4,08-9276518,ytichon.shaalvim@gmail.com,<a href='https://shaalvim.tik-tak.net/' target='_blank'>דף הבית</a>
מקיף הדסים,440180,עליונה בלבד,7,"שכ הדסים, אבן יהודה",מרכז,4,09-8999252,eli@wizo-hadassim.org.il,<a href='http://www.wizo.org.il/page_33715' target='_blank'>דף הבית</a>
"אולפנת אמי""ת להבה",440909,"חט""ב + עליונה",6,"גבעת שלם 1, קדומים",מרכז,4,09-7928128,ulplehava@gmail.com,<a href='https://ulp-lehava.tik-tak.net/' target='_blank'>דף הבית</a>
"ישיבת אמי""ת נחשון",180034,"חט""ב + עליונה",6,נחם,ירושלים,5,02-9923156,amitnachshon@gmail.com,<a href='https://amitnachshon.tik-tak.net/' target='_blank'>דף הבית</a>
"אמי""ת פתח-תקוה",480020,"חט""ב + עליונה",6,"הרב הרצוג 16, פתח תקווה","ת""א",3,03-9311257,moshuziel@gmail.com,<a href='http://amit.org.il/kfarnoarpt2/' target='_blank'>דף הבית</a>
"אמי""ת כפר בתיה",480012,עליונה בלבד,7,"ירושלים 1, רעננה",מרכז,4,09-7747111,dalia@amit.org.il,<a href='https://amitkbatyamadai.tik-tak.net/' target='_blank'>דף הבית</a>
אמית מדעי תורני כפר בתיה,442376,"חט""ב + עליונה",6,"ירושלים 1, רעננה",מרכז,4,09-7700331,orit.lent@gmail.com,<a href='https://amitkbatyamadai.tik-tak.net/' target='_blank'>דף הבית</a>
כפר הנוער קדמה,670828,עליונה בלבד,7,קדמה,דרום,7,08-8607439,shahar@kedmavillage.org.il,<a href='https://en.kedmavillage.co.il/school' target='_blank'>דף הבית</a>
אורט ימי,670331,עליונה בלבד,7,"אורט 2, אשדוד",דרום,7,"08-8633222, 08-8633203",juditl179@gmail.com,<a href='https://yami-ashdod.ort.org.il/' target='_blank'>דף הבית</a>
חווה חקלאית ניצנה,616250,,,ניצנה (קהילת חינוך),דרום,7,,aymaneg1@gmail.com,
נווה מדבר ניצנה,718189,עליונה בלבד,7,ניצנה (קהילת חינוך),דרום,7,08-6561440,sela.nevemid@gmail.com,
אשל הנשיא,680025,"חט""ב + עליונה",6,אשל הנשיא,דרום,7,08-6408907,pnim@eshelnet.com,<a href='https://www.eshelnet.com/' target='_blank'>דף הבית</a>
בנימין רוטמן אשל הנשיא,641431,"חט""ב + עליונה",6,אשל הנשיא,דרום,7,08-6408902,pnim@eshelnet.com,<a href='https://www.eshelnet.com/?page_id=4217' target='_blank'>דף הבית</a>
אולפנת נוה דקלים,640649,עליונה בלבד,7,"דרך נווה דקלים 1, ניצן",דרום,7,08-8604110,ulpena@und.co.il,<a href='https://und.co.il/' target='_blank'>דף הבית</a>
אולפנת הללי לאמנות,508424,עליונה בלבד,7,בית רבן,דרום,7,08-8511905,malkazu@washington.ac.il,<a href='https://washington.winx.co.il/haleli/' target='_blank'>דף הבית</a>
תיכון גבעת ושינגטון,440560,"חט""ב + עליונה",6,בית רבן,מרכז,4,"08-8511905, 08-8511973",malkazu@washington.ac.il,<a href='https://www.washington.ac.il/ulpena/' target='_blank'>דף הבית</a>
חקלאי נחלת יהודה,480087,"חט""ב + עליונה",6,"נחלת יהודה 21, ראשון לציון",מרכז,4,03-9569756,info@nachlat.org.il,<a href='https://nachlat.org.il/' target='_blank'>דף הבית</a>
מקיף חקלאי נהלל,280057,"חט""ב + עליונה",6,נהלל,צפון,1,04-6416012,einat@nahalal.co.il,<a href='http://www.school1.nahalal.co.il/BRPortal/br/P100.jsp' target='_blank'>דף הבית</a>
הדסה נעורים,470146,עליונה בלבד,7,נעורים,מרכז,4,09-8661290,ayelet@neurim.org,<a href='https://neurim.org.il/' target='_blank'>דף הבית</a>
ישיבת מקור חיים,141028,עליונה בלבד,7,כפר עציון,"יו""ש",6,02-9934810,makor.c@gmail.com,<a href='https://makor-c.org/' target='_blank'>דף הבית</a>
"מנו""ף",771287,עליונה בלבד,7,"יד נתן ביס חקלאי , עכו",צפון,1,04-9016111,imbar@manof-school.co.il,<a href='https://www.kfar-manof.org.il/%d7%91%d7%99%d7%aa-%d7%a1%d7%a4%d7%a8/' target='_blank'>דף הבית</a>
ישיבת אור עציון,640185,"חט""ב + עליונה",6,"מרכז שפירא 25, מרכז שפירא",דרום,7,08-8508922,oretzion@ore.co.il,<a href='https://ore.co.il/' target='_blank'>דף הבית</a>
אדם ואדמה ניצנים,634261,עליונה בלבד,7,כפר סילבר,דרום,7,08-9756443,adama.arava@gmail.com,<a href='https://adam-adama.co.il/school/nitzanim/' target='_blank'>דף הבית</a>
מקיף כפר סילבר,680033,"חט""ב + עליונה",6,כפר סילבר,דרום,7,08-6776112,kfarsilver@wokm.org,<a href='http://www.kefarsilver.edu1.org.il/BRPortal/br/P102.jsp?arc=648241' target='_blank'>דף הבית</a>
מקיף אלוני יצחק,360149,"חט""ב + עליונה",6,"כפר הנוער 35, אלוני יצחק",חיפה,2,04-6189947,office@a-y.org.il,<a href='https://a-y.org.il/%D7%91%D7%99%D7%AA-%D7%94%D7%A1%D7%A4%D7%A8/' target='_blank'>דף הבית</a>
ישיבת נוה שמואל,140764,עליונה בלבד,7,"התאנה 1, אפרת","יו""ש",6,02-5488430,neveshmuel@ots.org.il,<a href='http://www.neveshmuel.org.il/' target='_blank'>דף הבית</a>
קרית יערים,120238,"חט""ב + עליונה",6,קריית יערים (מוסד),ירושלים,5,02-5705311,talz@yearim.org.il,<a href='https://yearim.org.il/' target='_blank'>דף הבית</a>
אסיף משגב,240481,"חט""ב + עליונה",6,עצמון שגב,צפון,1,"04-9902094, 072-2602110",asif@misgav.org.il,<a href='https://asif.school/' target='_blank'>דף הבית</a>
עומר משגב,640441,"חט""ב + עליונה",6,עצמון שגב,צפון,1,04-9801111,omer2@misgav.org.il,<a href='https://omer.schooly.co.il/' target='_blank'>דף הבית</a>
קציר משגב,640565,"חט""ב + עליונה",6,עצמון שגב,צפון,1,04-9902094,katzir@misgav.org.il,<a href='https://moodle.mashov.info/640565/' target='_blank'>דף הבית</a>
ישיבה תיכונית אילת,610170,עליונה בלבד,7,"מלכת שבא 15, אילת",דרום,7,08-6375415,eilat.yeshiva@gmail.com,<a href='https://www.yeshiva-eilat.co.il/' target='_blank'>דף הבית</a>
ארץ יהודה,470013,עליונה בלבד,7,כפר זוהרים,ירושלים,5,072-2794418,pnimiya@kfar-zoharim.org.il,<a href='https://eretzyehuda.ort.org.il/' target='_blank'>דף הבית</a>
בנימין רוטמן- שבילי העמק,480004,"חט""ב + עליונה",6,גבעת חיים (איחוד),מרכז,4,04-6369572,simim@shafririmb.org.il,<a href='https://alumotor.org/project/%D7%91%D7%99%D7%94%D7%A1-%D7%91%D7%A0%D7%99%D7%9E%D7%99%D7%9F-%D7%A8%D7%95%D7%98%D7%9E%D7%9F-%D7%A9%D7%91%D7%99%D7%9C%D7%99-%D7%94%D7%A2%D7%9E%D7%A7/' target='_blank'>דף הבית</a>
בית ירח א',860361,עליונה בלבד,7,כנרת (קבוצה),צפון,1,04-9122613,beityerach@gmail.com,<a href='https://www.beit-yerach.com/' target='_blank'>דף הבית</a>
מקיף בית ירח,261065,עליונה בלבד,7,כנרת (קבוצה),צפון,1,04-6750805,beityerach@gmail.com,<a href='https://www.beit-yerach.com/' target='_blank'>דף הבית</a>
מקיף דתי עזתה בנות,680108,"חט""ב + עליונה",6,זמרת,דרום,7,08-9938987,,
תיכון ישיבתי נרייה,641316,"חט""ב + עליונה",6,בית הגדי,דרום,7,08-9938926,,<a href='https://daatedu.org.il/%D7%91%D7%AA%D7%99-%D7%97%D7%99%D7%A0%D7%95%D7%9A/%D7%93%D7%A2%D7%AA-%D7%A0%D7%A8%D7%99%D7%94-%D7%AA%D7%99%D7%9B%D7%95%D7%9F-%D7%99%D7%A9%D7%99%D7%91%D7%AA%D7%99-%D7%9C%D7%91%D7%A0%D7%99%D7%9D/' target='_blank'>דף הבית</a>
"מקיף ע""ש ז'בוטינסקי",480178,"חט""ב + עליונה",6,באר יעקב,מרכז,4,08-6213679,veronikc@atid.org.il,<a href='https://y-zhabotinsky.atidedu.org.il/%D7%91%D7%99%D7%AA-%D7%94%D7%A1%D7%A4%D7%A8-2/' target='_blank'>דף הבית</a>
עתיד רזיאל,544395,"חט""ב + עליונה",6,"רזיאל דוד 24, הרצליה","ת""א",3,09-9663803,ayanah@atid.org.il,<a href='https://atidraziel.atidedu.org.il/' target='_blank'>דף הבית</a>
נופי הבשור,660324,"חט""ב + עליונה",6,מגן,דרום,7,077-3191100,nofey@mhs.org.il,<a href='https://nhs.org.il/' target='_blank'>דף הבית</a>
מחול,718965,עליונה בלבד,7,מחולה,ירושלים,5,02-9660414,office@timora.org.il,<a href='https://timora.org.il/machol/' target='_blank'>דף הבית</a>
אזורי מקיף עין כרם,180018,"חט""ב + עליונה",6,"עין כרם-בי""ס חקלאי",ירושלים,5,02-6417295,eli.el@kidum-edu.org.il,<a href='https://sites.google.com/hityash.org/einkerem-school' target='_blank'>דף הבית</a>
כוכבי המדבר ברנקו וייס,724161,עליונה בלבד,7,להב,דרום,7,08-9913391,info@desertstars.org.il,<a href='https://www.desertstars.org.il/ourprograms-hebrew' target='_blank'>דף הבית</a>
אול' רגבים כפר עציון,764290,עליונה בלבד,7,כפר עציון,ירושלים,5,,,
ישיבה לצעירים חיצים,441857,עליונה בלבד,7,איתמר,"יו""ש",6,02-9973674,office@chitzim.co.il,<a href='https://chitzim.co.il/' target='_blank'>דף הבית</a>
ישיבת תיכון קול מבשר,140251,עליונה בלבד,7,"האורן 50, מבשרת ציון",ירושלים,5,02-5475555,km5475555@gmail.com,<a href='https://kolmevaser.mashov.info/' target='_blank'>דף הבית</a>
תיכון תמר,860353,עליונה בלבד,7,נטור,צפון,1,04-6761000,tammargolan@gmail.com,<a href='https://tamar.rgl.org.il/' target='_blank'>דף הבית</a>
רגבים בנגב,550004,עליונה בלבד,7,בני נצרים 7891,דרום,7,08-8662350,misrad@regavimbanegev.org.il,<a href='https://regavimnegev.rgl.org.il/' target='_blank'>דף הבית</a>
אולפנת בקעת הירדן,713743,"חט""ב + עליונה",6,"חמרה 50, חמרה","יו""ש",6,02-5388189,ulpanathbika@gmail.com,<a href='https://hmulpana.tik-tak.net/' target='_blank'>דף הבית</a>
כפר הנוער איילת השחר,719591,עליונה בלבד,7,יונתן,צפון,1,04-6761027,klita@ayhs.org.il,<a href='https://ayelet.rgl.org.il/?section=37' target='_blank'>דף הבית</a>
אדם ואדמה- ערבה,741033,עליונה בלבד,7,חצבה,דרום,7,"050-6621315, 08-6886404",adam.adama@hashomer.org.il,<a href='http://adam-adama.co.il/' target='_blank'>דף הבית</a>
מוסדות מגדל אור,771030,עליונה בלבד,7,"אלי כהן 1, מגדל העמק",צפון,1,073-2227300,office@migdal-ohr.org.il,<a href='http://kfarnoarbanot.migdal-ohr.org.il/' target='_blank'>דף הבית</a>
אולפנא בני עקיבא צפירה,440479,"חט""ב + עליונה",6,"הרימון 70, צפריה",מרכז,4,03-9606686,tzfirar@hityash.org.il,<a href='https://tzfira.tik-tak.net/' target='_blank'>דף הבית</a>
אולפנא הר חברון,581231,"חט""ב + עליונה",6, שמעה,ירושלים,5,08-6637757,tzviaharhevron@gmail.com,
אולפנת אוריה,560508,עליונה בלבד,7,אלון שבות,ירושלים,5,"054-3324261, 02-9959220",oriyaschool@ots.org.il,<a href='https://uoriya.tik-tak.net/' target='_blank'>דף הבית</a>
אולפנת אלומה שדות נגב,841213,"חט""ב + עליונה",6,בית הגדי,דרום,7,08-9938982,nuritisr1@hinuchm.k12.il,<a href='https://ulpenot.co.il/ulpena/sdot-negev/' target='_blank'>דף הבית</a>
"אולפנת בנ""ע כפר פינס",340109,עליונה בלבד,7,כפר פינס,חיפה,2,04-6662201,ulpana@mkp.org.il,<a href='https://www.ulpanakp.org/' target='_blank'>דף הבית</a>
אולפנת בני עקיבא לכי,641548,"חט""ב + עליונה",6,בני דקלים,דרום,7,08-9706700,shira.g10@gmail.com,<a href='https://yba.org.il/institutes/%D7%90%D7%95%D7%9C%D7%A4%D7%A0%D7%AA-%D7%91%D7%A0%D7%99-%D7%A2%D7%A7%D7%99%D7%91%D7%90-%D7%9C%D7%9B%D7%99%D7%A9/' target='_blank'>דף הבית</a>
אולפנת חפץ חיים,460154,"חט""ב + עליונה",6,חפץ חיים,מרכז,4,08-8593922,zviahafez@hityash.org,<a href='https://zhf.tik-tak.net/' target='_blank'>דף הבית</a>
אולפנת מרכז שפירא,680082,"חט""ב + עליונה",6,מרכז שפירא,דרום,7,08-6212500,ulpenams@gmail.com,<a href='https://www.ulpenams.com/' target='_blank'>דף הבית</a>
אולפנת שעלבים,460428,"חט""ב + עליונה",6,"שעלבים 65, שעלבים",מרכז,4,08-9276755,ulpenatshaalvim@gmail.com,<a href='https://ulp-shaalvim.tik-tak.net/' target='_blank'>דף הבית</a>
אופק,260125,"חט""ב + עליונה",6,עברון,צפון,1,"04-9857744, 04-9857755",ofek@ofekschool.org.il,<a href='https://ofekschool.co.il/' target='_blank'>דף הבית</a>
אזורי ירדן,240440,"חט""ב + עליונה",6,מעלה אפרים,ירושלים,5,02-9941948,peter.yarden@gmail.com,<a href='https://www.jordanvalley.org.il/page_100045' target='_blank'>דף הבית</a>
"אזורי ע""ש הרצוג",441089,"חט""ב + עליונה",6,"דרך המכבים , בית חשמונאי",מרכז,4,08-9242073,bw-herzog@brancoweiss.org.il,<a href='https://bw-herzog.tik-tak.net/' target='_blank'>דף הבית</a>
ארבעת המינים,667394,,,עין החורש,מרכז,4,,e/a@merkazofek.co.il,
בית חינוך ירקון,841254,"חט""ב + עליונה",6,נווה ירק,מרכז,4,03-9000692,b.h@yarkon.org.il,<a href='http://www.yarkon.edu1.org.il' target='_blank'>דף הבית</a>
בני חיל שומרון,460410,עליונה בלבד,7,קדומים,מרכז,4,09-7921621,bnh@bnh.org.il,<a href='https://bnh.tik-tak.net/' target='_blank'>דף הבית</a>
בנימין רוטמן כדורי,512491,"חט""ב + עליונה",6,כדורי,צפון,1,052-8870781,rotmankadoorie@gmail.com,<a href='https://www.kadoorie.org.il/category/%D7%91%D7%99%D7%94%D7%A1-%D7%A8%D7%95%D7%98%D7%9E%D7%9F/' target='_blank'>דף הבית</a>
בנימין רוטמן עמק יפה,844043,"חט""ב + עליונה",6,ניר יפה,צפון,1,04-6527258,emekyafe1@gmail.com,<a href='https://alumotor.org/project/%D7%91%D7%99%D7%94%D7%A1-%D7%91%D7%A0%D7%99%D7%9E%D7%99%D7%9F-%D7%A8%D7%95%D7%98%D7%9E%D7%9F-%D7%A2%D7%9E%D7%A7/' target='_blank'>דף הבית</a>
ברנקו וייס גולן,240655,עליונה בלבד,7,רמות,צפון,1,04-6763551,horihila2@gmail.com,<a href='https://brancoweiss.org.il/blog/school/schools/%D7%91%D7%AA%D7%99-%D7%A1%D7%A4%D7%A8-%D7%90%D7%AA%D7%92%D7%A8%D7%99%D7%99%D7%9D/%D7%91%D7%A8%D7%A0%D7%A7%D7%95-%D7%95%D7%99%D7%99%D7%A1-%D7%92%D7%95%D7%9C%D7%9F-%D7%A7%D7%A6%D7%A8%D7%99%D7%9F/' target='_blank'>דף הבית</a>
המשותף חוף הכרמל-יחד,770040,"חט""ב + עליונה",6,מעגן מיכאל,חיפה,2,04-6299777,meshutaf@hof-carmel.org.il,<a href='https://moodle.mashov.info/hof-carmel/' target='_blank'>דף הבית</a>
העמק,761767,"חט""ב בלבד",5,,צפון,1,,,
הרב תחומי עמק חרוד,260091,"חט""ב + עליונה",6,עין חרוד (מאוחד),צפון,1,04-6664546,emekharod@eh.amalnet.k12.il,<a href='http://eh.amalnet.k12.il/' target='_blank'>דף הבית</a>
חט ב אדיגה כפר קמא,841155,"חט""ב בלבד",5,כפר כמא,צפון,1,04-6767987,galiaviv2@gmail.com,<a href='https://adiga.mashov.info/#' target='_blank'>דף הבית</a>
"חט""ב ממ""ד סעד דע""ת",660365,"חט""ב בלבד",5,סעד,דרום,7,08-6683700,menaheldaat@kv-saad.org.il,<a href='https://daat.tik-tak.net/' target='_blank'>דף הבית</a>
"יב""ע בית יהודה",640151,"חט""ב + עליונה",6,כפר מימון,דרום,7,08-9941049,beityhd@gmail.com,<a href='https://b-yeuda.tik-tak.net/' target='_blank'>דף הבית</a>
"ישיבת בנ""ע בר יוחאי מירון",755066,עליונה בלבד,7,מירון,צפון,1,04-6989043,,
ישיבת בני עקיבא נחלים,440339,"חט""ב + עליונה",6,"נחלים 54, נחלים",מרכז,4,03-9371500,chativa88@gmail.com,<a href='https://nechalim.tik-tak.net/' target='_blank'>דף הבית</a>
ישיבת צביה כרמי קטיף,746669,עליונה בלבד,7,כרמי קטיף,"יו""ש",6,02-5368038,yeshivazkk@gmail.com,<a href='https://www.ytkk.org/' target='_blank'>דף הבית</a>
ישיבת צביה קטיף,442319,"חט""ב + עליונה",6,"יד בנימין 7, יד בנימין",מרכז,4,08-8694155,tzviakatif@gmail.com,<a href='https://zvia-katif.tik-tak.net/' target='_blank'>דף הבית</a>
"כברי חט""ע",260240,עליונה בלבד,7,כברי,צפון,1,04-9952745,info@manorcabri.org.il,<a href='https://cabri.schooly.co.il/' target='_blank'>דף הבית</a>
"כפר הנוער אמי""ת",579490,"חט""ב + עליונה",6,"הרב הרצוג 16, פתח תקווה",מרכז,4,03-9763706,moshuziel@gmail.com,<a href='https://amit.org.il/kfarnoarpt2/' target='_blank'>דף הבית</a>
כפר הנוער הערבי למצויינות,734863,עליונה בלבד,7,גבעת חביבה,חיפה,2,04-6809842,,<a href='https://www.kidum-edu.org.il/%D7%A1%D7%99%D7%A0%D7%93%D7%99%D7%90%D7%A0%D7%94-%D7%9B%D7%A4%D7%A8-%D7%94%D7%A0%D7%95%D7%A2%D7%A8-%D7%94%D7%A2%D7%A8%D7%91%D7%99-%D7%9C%D7%9E%D7%A0%D7%94%D7%99%D7%92%D7%95%D7%AA-%D7%A6%D7%A2%D7%99/' target='_blank'>דף הבית</a>
כפר נוער ניר העמק,280032,"חט""ב + עליונה",6,עפולה,צפון,1,"04-6096104, 04-6096155",nirhaemek@gmail.com,<a href='https://www.nirhaemek.co.il/' target='_blank'>דף הבית</a>
מדרשה אומנויות מדעים דרכא,810002,"חט""ב + עליונה",6,"דוד המלך , ניצן",דרום,7,08-6114546,,
מעלה שחרות,770602,"חט""ב + עליונה",6,יטבתה,דרום,7,08-6355930,ofraag@m-shaharut.org.il,<a href='https://www.eilot.org.il/highschool/' target='_blank'>דף הבית</a>
מקיף אזורי ברנר,770065,עליונה בלבד,7,גבעת ברנר,מרכז,4,08-9443950,Mazkirut@brennerschool.co.il,<a href='https://brennerschool.mashov.info/' target='_blank'>דף הבית</a>
מקיף אזורי מרחבים,770990,"חט""ב + עליונה",6,"בי""ס מרחבים , קריית חינוך מרחבים",דרום,7,08-9926575,merhavim.ti@gmail.com,<a href='https://merchavim.tik-tak.net/' target='_blank'>דף הבית</a>
